lon,lat,name,year,month,drought,enso,PET,P,ET,SM,SM_prev,DS,NDVI
-100.3,35.4,P1,1980,10,NA,0.11,84.94707489,16.29999924,26.18922043,21.04582489,18.40842217,-18,NA
-100.3,35.4,P1,1980,11,NA,0.31,47.0829277,14.06000042,8.333239555,21.26244903,21.04582489,-3,NA
-100.3,35.4,P1,1980,12,NA,0.33,35.72940063,21.47999954,4.247379303,25.13797283,21.26244903,15,NA
-100.3,35.4,P1,1980,2,NA,0.21,41.36618042,6.860000134,15.54473782,26.45170093,25.51566064,-7,NA
-100.3,35.4,P1,1980,3,NA,0.52,73.13628387,45.88000107,31.45003891,25.13138652,26.45170093,-2,NA
-100.3,35.4,P1,1980,4,NA,0.86,103.8598328,36.31999969,55.99299622,20.20199895,25.13138652,6,NA
-100.3,35.4,P1,1980,5,NA,0.44,133.6015015,148.2200012,85.95676422,24.51048195,20.20199895,15,NA
-100.3,35.4,P1,1980,6,NA,0.64,169.5579071,30.96999931,103.0989838,18.52255315,24.51048195,-12,NA
-100.3,35.4,P1,1980,7,NA,0.26,192.677887,12.52999973,71.3476181,13.94013017,18.52255315,-37,NA
-100.3,35.4,P1,1980,8,NA,-0.12,162.0785522,12.36999989,47.681427,16.96151495,13.94013017,-23,NA
-100.3,35.4,P1,1980,9,NA,0.26,117.4356918,63.15000153,38.90924072,18.40842217,16.96151495,0,NA
-100.3,35.4,P1,1981,1,NA,-0.31,37.66402054,3.049999952,9.571310043,19.12341863,25.13797283,7,NA
-100.3,35.4,P1,1981,10,NA,0.32,73.43135834,93.98999786,30.43502045,25.06147623,17.91734099,22,0.303529561
-100.3,35.4,P1,1981,11,NA,-0.15,47.08214188,35.09000015,17.63607979,22.11107314,25.06147623,6,0.288432777
-100.3,35.4,P1,1981,12,NA,-0.11,34.72373581,2.599999905,6.014826775,21.07054889,22.11107314,-25,0.279150426
-100.3,35.4,P1,1981,2,NA,-0.03,48.0994873,5.510000229,7.226749897,20.69807351,19.12341863,-14,NA
-100.3,35.4,P1,1981,3,NA,0.82,74.21875,62.16999817,30.94495773,24.39004183,20.69807351,-9,NA
-100.3,35.4,P1,1981,4,NA,0.18,108.7471237,54.15000153,61.08679581,22.44618684,24.39004183,-13,NA
-100.3,35.4,P1,1981,5,NA,-0.35,134.9489136,72.09999847,71.21390533,22.20525444,22.44618684,2,NA
-100.3,35.4,P1,1981,6,NA,-0.47,161.8579102,90.62000275,90.146492,19.80311275,22.20525444,-2,NA
